Agent 0,Agent 1,avg,min,max,steps,trend
294.3333333333333,89.33333333333333,191.83333333333331,89.33333333333333,294.3333333333333,1,196.5902133752585
225.16666666666666,176.66666666666666,200.91666666666666,176.66666666666666,225.16666666666666,2,198.90639680082006
245.0,120.33333333333333,182.66666666666666,120.33333333333333,245.0,3,201.1940488459511
237.33333333333334,218.83333333333334,228.08333333333334,218.83333333333334,237.33333333333334,4,203.45337422316913
251.66666666666666,167.5,209.58333333333331,167.5,251.66666666666666,5,205.68457703625756
264.5,179.33333333333334,221.91666666666669,179.33333333333334,264.5,6,207.88786078026544
332.6666666666667,249.0,290.83333333333337,249.0,332.6666666666667,7,210.06342834150783
332.0,248.83333333333334,290.4166666666667,248.83333333333334,332.0,8,212.2114819975656
248.16666666666666,164.33333333333334,206.25,164.33333333333334,248.16666666666666,9,214.33222341728543
288.1666666666667,246.33333333333334,267.25,246.33333333333334,288.1666666666667,10,216.42585366077998
248.83333333333334,248.66666666666666,248.75,248.66666666666666,248.83333333333334,11,218.49257317942755
207.33333333333334,165.66666666666666,186.5,165.66666666666666,207.33333333333334,12,220.53258181587233
213.66666666666666,260.1666666666667,236.91666666666669,213.66666666666666,260.1666666666667,13,222.54607880402443
233.66666666666666,168.0,200.83333333333331,168.0,233.66666666666666,14,224.53326276905972
365.0,249.83333333333334,307.4166666666667,249.83333333333334,365.0,15,226.4943317274201
333.1666666666667,249.83333333333334,291.5,249.83333333333334,333.1666666666667,16,228.42948308681304
332.0,235.16666666666666,283.5833333333333,235.16666666666666,332.0,17,230.33891364621203
291.0,193.83333333333334,242.41666666666669,193.83333333333334,291.0,18,232.22281959585638
330.8333333333333,248.0,289.41666666666663,248.0,330.8333333333333,19,234.0813965172512
290.1666666666667,248.66666666666666,269.4166666666667,248.66666666666666,290.1666666666667,20,235.91483938316742
249.83333333333334,249.83333333333334,249.83333333333334,249.83333333333334,249.83333333333334,21,237.7233425576419
290.5,249.16666666666666,269.8333333333333,249.16666666666666,290.5,22,239.50709979597724
277.3333333333333,249.33333333333334,263.3333333333333,249.33333333333334,277.3333333333333,23,241.266304244742
208.0,248.66666666666666,228.33333333333331,208.0,248.66666666666666,24,243.00114844177048
290.0,248.83333333333334,269.4166666666667,248.83333333333334,290.0,25,244.7118243161629
207.83333333333334,235.0,221.41666666666669,207.83333333333334,235.0,26,246.39852318828525
290.6666666666667,248.66666666666666,269.6666666666667,248.66666666666666,290.6666666666667,27,248.06143576976936
248.33333333333334,249.66666666666666,249.0,248.33333333333334,249.66666666666666,28,249.70075216351304
225.16666666666666,248.0,236.58333333333331,225.16666666666666,248.0,29,251.3166618636798
249.83333333333334,330.5,290.1666666666667,249.83333333333334,330.5,30,252.909353755699
253.33333333333334,220.33333333333334,236.83333333333334,220.33333333333334,253.33333333333334,31,254.47901611626583
269.0,271.6666666666667,270.33333333333337,269.0,271.6666666666667,32,256.0258366133415
225.5,166.0,195.75,166.0,225.5,33,257.55000230615286
211.0,175.5,193.25,175.5,211.0,34,259.0516996451926
208.5,248.66666666666666,228.58333333333331,208.5,248.66666666666666,35,260.53111447221954
210.83333333333334,175.16666666666666,193.0,175.16666666666666,210.83333333333334,36,261.98843202025785
208.5,167.83333333333334,188.16666666666669,167.83333333333334,208.5,37,263.42383691359805
212.5,249.33333333333334,230.91666666666669,212.5,249.33333333333334,38,264.83751316779615
221.33333333333334,198.16666666666666,209.75,198.16666666666666,221.33333333333334,39,266.22964418967416
260.3333333333333,248.16666666666666,254.25,248.16666666666666,260.3333333333333,40,267.6004127773199
237.16666666666666,182.83333333333334,210.0,182.83333333333334,237.16666666666666,41,268.95000112008705
248.83333333333334,248.0,248.41666666666669,248.0,248.83333333333334,42,270.278590798595
243.83333333333334,249.16666666666666,246.5,243.83333333333334,249.16666666666666,43,271.58636278472926
249.16666666666666,248.16666666666666,248.66666666666666,248.16666666666666,249.16666666666666,44,272.8734974416409
240.16666666666666,248.83333333333334,244.5,240.16666666666666,248.83333333333334,45,274.140174523747
249.16666666666666,249.33333333333334,249.25,249.16666666666666,249.33333333333334,46,275.38657317673045
227.33333333333334,166.16666666666666,196.75,166.16666666666666,227.33333333333334,47,276.6128719375399
241.83333333333334,166.16666666666666,204.0,166.16666666666666,241.83333333333334,48,277.81924873438993
249.16666666666666,221.16666666666666,235.16666666666666,221.16666666666666,249.16666666666666,49,279.00588088676096
248.33333333333334,248.5,248.41666666666669,248.33333333333334,248.5,50,280.1729451053992
246.66666666666666,248.16666666666666,247.41666666666666,246.66666666666666,248.16666666666666,51,281.3206174923168
233.0,180.83333333333334,206.91666666666669,180.83333333333334,233.0,52,282.4490735407916
219.66666666666666,247.0,233.33333333333331,219.66666666666666,247.0,53,283.5584881353674
331.3333333333333,330.8333333333333,331.0833333333333,330.8333333333333,331.3333333333333,54,284.64903555185373
249.5,195.5,222.5,195.5,249.5,55,285.7208894573262
331.3333333333333,322.6666666666667,327.0,322.6666666666667,331.3333333333333,56,286.77422291012607
250.16666666666666,327.8333333333333,289.0,250.16666666666666,327.8333333333333,57,287.80920835986035
240.33333333333334,165.0,202.66666666666669,165.0,240.33333333333334,58,288.8260176474022
288.0,249.16666666666666,268.5833333333333,249.16666666666666,288.0,59,289.8248220048903
324.5,248.16666666666666,286.3333333333333,248.16666666666666,324.5,60,290.8057920557293
231.16666666666666,244.83333333333334,238.0,231.16666666666666,244.83333333333334,61,291.7690978145898
274.5,166.33333333333334,220.41666666666669,166.33333333333334,274.5,62,292.7149086874082
227.33333333333334,263.1666666666667,245.25,227.33333333333334,263.1666666666667,63,293.6433934713865
338.6666666666667,257.0,297.83333333333337,257.0,338.6666666666667,64,294.5547203549929
294.5,184.0,239.25,184.0,294.5,65,295.44905691796123
263.1666666666667,233.5,248.33333333333334,233.5,263.1666666666667,66,296.3265701312912
284.3333333333333,246.83333333333334,265.5833333333333,246.83333333333334,284.3333333333333,67,297.1874263572483
371.0,249.66666666666666,310.3333333333333,249.66666666666666,371.0,68,298.031791349364
273.8333333333333,249.0,261.41666666666663,249.0,273.8333333333333,69,298.85983025243564
239.66666666666666,248.16666666666666,243.91666666666666,239.66666666666666,248.16666666666666,70,299.67170760252617
351.1666666666667,264.0,307.58333333333337,264.0,351.1666666666667,71,300.4675873269645
328.1666666666667,246.66666666666666,287.4166666666667,246.66666666666666,328.1666666666667,72,301.24763274434554
239.16666666666666,291.3333333333333,265.25,239.16666666666666,291.3333333333333,73,302.0120065645298
331.6666666666667,190.83333333333334,261.25,190.83333333333334,331.6666666666667,74,302.7608708886438
205.5,243.0,224.25,205.5,243.0,75,303.4943872090798
330.3333333333333,246.0,288.16666666666663,246.0,330.3333333333333,76,304.2127164094959
363.6666666666667,249.16666666666666,306.4166666666667,249.16666666666666,363.6666666666667,77,304.91601876481616
372.0,268.0,320.0,268.0,372.0,78,305.6044539412304
310.0,299.1666666666667,304.58333333333337,299.1666666666667,310.0,79,306.27818099619424
392.6666666666667,248.83333333333334,320.75,248.83333333333334,392.6666666666667,80,306.9373583784293
307.3333333333333,333.0,320.16666666666663,307.3333333333333,333.0,81,307.58214392792274
181.5,322.3333333333333,251.91666666666666,181.5,322.3333333333333,82,308.2126948759279
305.3333333333333,331.3333333333333,318.3333333333333,305.3333333333333,331.3333333333333,83,308.8291678449639
207.83333333333334,166.33333333333334,187.08333333333334,166.33333333333334,207.83333333333334,84,309.43171884881536
249.16666666666666,220.83333333333334,235.0,220.83333333333334,249.16666666666666,85,310.0205032925332
217.83333333333334,246.66666666666666,232.25,217.83333333333334,246.66666666666666,86,310.595675972434
250.0,249.5,249.75,249.5,250.0,87,311.15739107610005
166.0,249.16666666666666,207.58333333333331,166.0,249.16666666666666,88,311.7058021823796
291.3333333333333,256.0,273.66666666666663,256.0,291.3333333333333,89,312.2410622613869
336.3333333333333,253.16666666666666,294.75,253.16666666666666,336.3333333333333,90,312.76332367450175
254.83333333333334,249.5,252.16666666666669,249.5,254.83333333333334,91,313.27273817437
373.8333333333333,333.0,353.41666666666663,333.0,373.8333333333333,92,313.7694569049031
294.6666666666667,332.1666666666667,313.4166666666667,294.6666666666667,332.1666666666667,93,314.25363040127877
249.5,332.8333333333333,291.16666666666663,249.5,332.8333333333333,94,314.7254085899401
413.3333333333333,332.5,372.91666666666663,332.5,413.3333333333333,95,315.1849407885964
361.1666666666667,332.0,346.58333333333337,332.0,361.1666666666667,96,315.63237570622255
290.6666666666667,331.1666666666667,310.9166666666667,290.6666666666667,331.1666666666667,97,316.06786144305937
324.6666666666667,364.6666666666667,344.6666666666667,324.6666666666667,364.6666666666667,98,316.49154549061365
362.8333333333333,403.3333333333333,383.0833333333333,362.8333333333333,403.3333333333333,99,316.9035747316578
373.5,414.6666666666667,394.08333333333337,373.5,414.6666666666667,100,317.3040954402302
371.8333333333333,414.1666666666667,393.0,371.8333333333333,414.1666666666667,101,317.69325328163507
450.8333333333333,406.1666666666667,428.5,406.1666666666667,450.8333333333333,102,318.07119331244246
455.8333333333333,414.1666666666667,435.0,414.1666666666667,455.8333333333333,103,318.4380599804882
318.0,413.5,365.75,318.0,413.5,104,318.7939971248741
452.6666666666667,414.8333333333333,433.75,414.8333333333333,452.6666666666667,105,319.13914797596766
454.8333333333333,413.1666666666667,434.0,413.1666666666667,454.8333333333333,106,319.47365515540235
374.1666666666667,415.0,394.58333333333337,374.1666666666667,415.0,107,319.7976606760774
373.0,412.6666666666667,392.83333333333337,373.0,412.6666666666667,108,320.11130594215786
374.1666666666667,416.0,395.08333333333337,374.1666666666667,416.0,109,320.41473174907475
455.5,414.3333333333333,434.91666666666663,414.3333333333333,455.5,110,320.7080782835248
380.5,414.8333333333333,397.66666666666663,380.5,414.8333333333333,111,320.9914851234706
373.6666666666667,407.5,390.58333333333337,373.6666666666667,407.5,112,321.2650912381407
374.1666666666667,415.5,394.83333333333337,374.1666666666667,415.5,113,321.5290349880294
373.0,414.0,393.5,373.0,414.0,114,321.7834541248968
455.1666666666667,331.1666666666667,393.1666666666667,331.1666666666667,455.1666666666667,115,322.02848579176896
365.6666666666667,407.8333333333333,386.75,365.6666666666667,407.8333333333333,116,322.26426652293765
455.0,415.5,435.25,415.5,455.0,117,322.4909322439606
373.5,403.3333333333333,388.41666666666663,373.5,403.3333333333333,118,322.70861827166124
454.6666666666667,413.8333333333333,434.25,413.8333333333333,454.6666666666667,119,322.9174593141291
444.8333333333333,344.5,394.66666666666663,344.5,444.8333333333333,120,323.11758947071917
373.8333333333333,415.8333333333333,394.8333333333333,373.8333333333333,415.8333333333333,121,323.30914223205264
360.6666666666667,384.0,372.33333333333337,360.6666666666667,384.0,122,323.4922504800164
363.0,236.16666666666666,299.5833333333333,236.16666666666666,363.0,123,323.6670464877632
447.6666666666667,404.8333333333333,426.25,404.8333333333333,447.6666666666667,124,323.83366191971146
454.1666666666667,332.1666666666667,393.1666666666667,332.1666666666667,454.1666666666667,125,323.9922278315458
448.1666666666667,322.5,385.33333333333337,322.5,448.1666666666667,126,324.1428746702163
349.0,328.1666666666667,338.58333333333337,328.1666666666667,349.0,127,324.2857322739392
291.6666666666667,331.8333333333333,311.75,291.6666666666667,331.8333333333333,128,324.4209298721964
256.1666666666667,338.8333333333333,297.5,256.1666666666667,338.8333333333333,129,324.54859608573565
302.5,414.8333333333333,358.66666666666663,302.5,414.8333333333333,130,324.66885892657064
300.1666666666667,415.5,357.83333333333337,300.1666666666667,415.5,131,324.78184579798074
296.5,415.0,355.75,296.5,415.0,132,324.8876834945114
375.8333333333333,414.8333333333333,395.3333333333333,375.8333333333333,414.8333333333333,133,324.9864982019737
299.5,415.0,357.25,299.5,415.0,134,325.0784154974446
373.8333333333333,415.5,394.66666666666663,373.8333333333333,415.5,135,325.1635603492671
376.8333333333333,414.0,395.41666666666663,376.8333333333333,414.0,136,325.2420571170497
218.33333333333334,307.5,262.9166666666667,218.33333333333334,307.5,137,325.314029551667
312.8333333333333,414.5,363.66666666666663,312.8333333333333,414.5,138,325.3796007952593
293.3333333333333,415.3333333333333,354.3333333333333,293.3333333333333,415.3333333333333,139,325.43889338123296
244.16666666666666,361.1666666666667,302.6666666666667,244.16666666666666,361.1666666666667,140,325.4920292342599
341.3333333333333,367.3333333333333,354.3333333333333,341.3333333333333,367.3333333333333,141,325.5391296702781
335.8333333333333,266.5,301.16666666666663,266.5,335.8333333333333,142,325.58031539649124
370.5,414.0,392.25,370.5,414.0,143,325.6157065113689
291.1666666666667,332.5,311.83333333333337,291.1666666666667,332.5,144,325.64542250464655
291.1666666666667,414.0,352.58333333333337,291.1666666666667,414.0,145,325.66958225732543
371.8333333333333,409.3333333333333,390.5833333333333,371.8333333333333,409.3333333333333,146,325.6883040416726
369.1666666666667,410.1666666666667,389.6666666666667,369.1666666666667,410.1666666666667,147,325.70170552122113
291.1666666666667,332.0,311.58333333333337,291.1666666666667,332.0,148,325.7099037507697
373.0,330.3333333333333,351.66666666666663,330.3333333333333,373.0,149,325.7130151763829
373.6666666666667,415.1666666666667,394.4166666666667,373.6666666666667,415.1666666666667,150,325.7111556353914
374.0,415.6666666666667,394.83333333333337,374.0,415.6666666666667,151,325.70444035639133
290.8333333333333,330.6666666666667,310.75,290.8333333333333,330.6666666666667,152,325.69298395924494
295.5,414.3333333333333,354.91666666666663,295.5,414.3333333333333,153,325.67690045508016
315.5,331.0,323.25,315.5,331.0,154,325.656303246291
317.3333333333333,384.6666666666667,351.0,317.3333333333333,384.6666666666667,155,325.631305126537
328.1666666666667,413.8333333333333,371.0,328.1666666666667,413.8333333333333,156,325.60201828074366
411.0,332.6666666666667,371.83333333333337,332.6666666666667,411.0,157,325.56855428510244
384.8333333333333,332.3333333333333,358.5833333333333,332.3333333333333,384.8333333333333,158,325.5310241070706
363.3333333333333,248.66666666666666,306.0,248.66666666666666,363.3333333333333,159,325.4895381053711
343.3333333333333,397.1666666666667,370.25,343.3333333333333,397.1666666666667,160,325.44420602999287
406.3333333333333,414.6666666666667,410.5,406.3333333333333,414.6666666666667,161,325.3951370221906
279.3333333333333,247.0,263.16666666666663,247.0,279.3333333333333,162,325.34243961448504
364.8333333333333,249.66666666666666,307.25,249.66666666666666,364.8333333333333,163,325.2862217306624
405.8333333333333,331.5,368.66666666666663,331.5,405.8333333333333,164,325.22659068577514
364.3333333333333,249.0,306.66666666666663,249.0,364.3333333333333,165,325.1636531861413
279.1666666666667,232.33333333333334,255.75,232.33333333333334,279.1666666666667,166,325.09751532934473
363.3333333333333,255.66666666666666,309.5,255.66666666666666,363.3333333333333,167,325.02828260423536
359.0,328.0,343.5,328.0,359.0,168,324.95605989092877
325.5,331.5,328.5,325.5,331.5,169,324.8809514608065
330.3333333333333,331.3333333333333,330.8333333333333,330.3333333333333,331.3333333333333,170,324.8030609765158
324.1666666666667,331.3333333333333,327.75,324.1666666666667,331.3333333333333,171,324.72249149196983
328.6666666666667,284.8333333333333,306.75,284.8333333333333,328.6666666666667,172,324.6393454523477
367.3333333333333,249.83333333333334,308.5833333333333,249.83333333333334,367.3333333333333,173,324.55372469409417
277.5,249.5,263.5,249.5,277.5,174,324.4657304449199
413.8333333333333,330.8333333333333,372.3333333333333,330.8333333333333,413.8333333333333,175,324.37546332380157
368.0,412.8333333333333,390.41666666666663,368.0,412.8333333333333,176,324.2830233409814
346.5,248.0,297.25,248.0,346.5,177,324.1885098979677
281.3333333333333,247.5,264.41666666666663,247.5,281.3333333333333,178,324.0920217875345
323.5,331.3333333333333,327.41666666666663,323.5,331.3333333333333,179,323.99365719372173
283.0,249.5,266.25,249.5,283.0,180,323.89351369183515
278.8333333333333,249.83333333333334,264.3333333333333,249.83333333333334,278.8333333333333,181,323.79168824844623
388.8333333333333,297.1666666666667,343.0,297.1666666666667,388.8333333333333,182,323.6882772213926
324.6666666666667,249.16666666666666,286.9166666666667,249.16666666666666,324.6666666666667,183,323.58337635977733
281.0,166.66666666666666,223.83333333333331,166.66666666666666,281.0,184,323.47708080396967
279.0,249.5,264.25,249.5,279.0,185,323.36948508560454
313.8333333333333,331.0,322.41666666666663,313.8333333333333,331.0,186,323.26068312758275
275.0,248.5,261.75,248.5,275.0,187,323.15076824407095
272.8333333333333,190.5,231.66666666666666,190.5,272.8333333333333,188,323.03983314050157
314.5,332.6666666666667,323.58333333333337,314.5,332.6666666666667,189,322.92796991357295
293.3333333333333,249.66666666666666,271.5,249.66666666666666,293.3333333333333,190,322.81527005124934
278.3333333333333,248.66666666666666,263.5,248.66666666666666,278.3333333333333,191,322.7018244327607
401.1666666666667,390.3333333333333,395.75,390.3333333333333,401.1666666666667,192,322.58772332860286
277.5,166.0,221.75,166.0,277.5,193,322.4730564005376
359.3333333333333,249.0,304.16666666666663,249.0,359.3333333333333,194,322.35791270159234
280.6666666666667,249.5,265.08333333333337,249.5,280.6666666666667,195,322.2423806760605
280.5,168.83333333333334,224.66666666666669,168.83333333333334,280.5,196,322.1265481595014
283.1666666666667,165.16666666666666,224.16666666666669,165.16666666666666,283.1666666666667,197,322.01050237874
281.1666666666667,332.1666666666667,306.6666666666667,281.1666666666667,332.1666666666667,198,321.89432995186723
284.3333333333333,169.0,226.66666666666666,169.0,284.3333333333333,199,321.7781168882399
362.0,329.1666666666667,345.58333333333337,329.1666666666667,362.0,200,321.6619485884805
322.1666666666667,332.5,327.33333333333337,322.1666666666667,332.5,201,321.5459098444776
403.6666666666667,332.0,367.83333333333337,332.0,403.6666666666667,202,321.4300848393853
279.0,313.3333333333333,296.16666666666663,279.0,313.3333333333333,203,321.31455714762393
360.5,247.33333333333334,303.9166666666667,247.33333333333334,360.5,204,321.1994097348793
290.0,165.83333333333334,227.91666666666669,165.83333333333334,290.0,205,321.08472495810327
412.3333333333333,331.8333333333333,372.0833333333333,331.8333333333333,412.3333333333333,206,320.9705845655135
320.0,413.3333333333333,366.66666666666663,320.0,413.3333333333333,207,320.8570696965934
319.5,332.1666666666667,325.83333333333337,319.5,332.1666666666667,208,320.7442608820924
318.1666666666667,332.6666666666667,325.4166666666667,318.1666666666667,332.6666666666667,209,320.63223804402566
276.5,248.66666666666666,262.5833333333333,248.66666666666666,276.5,210,320.5210804956742
276.3333333333333,247.66666666666666,262.0,247.66666666666666,276.3333333333333,211,320.4108669415848
276.3333333333333,245.0,260.66666666666663,245.0,276.3333333333333,212,320.30167547757026
359.8333333333333,332.0,345.91666666666663,332.0,359.8333333333333,213,320.193583590709
351.5,241.5,296.5,241.5,351.5,214,320.0866681593456
276.1666666666667,242.83333333333334,259.5,242.83333333333334,276.1666666666667,215,319.9810054530901
276.8333333333333,249.33333333333334,263.0833333333333,249.33333333333334,276.8333333333333,216,319.87667113281873
332.0,331.5,331.75,331.5,332.0,217,319.77374025067326
318.5,248.83333333333334,283.6666666666667,248.83333333333334,318.5,218,319.6722872500615
332.6666666666667,336.1666666666667,334.4166666666667,332.6666666666667,336.1666666666667,219,319.57238596565713
317.3333333333333,336.8333333333333,327.0833333333333,317.3333333333333,336.8333333333333,220,319.4741096233995
249.66666666666666,166.33333333333334,208.0,166.33333333333334,249.66666666666666,221,319.3775308404939
276.8333333333333,248.5,262.66666666666663,248.5,276.8333333333333,222,319.28272162541145
278.8333333333333,324.6666666666667,301.75,278.8333333333333,324.6666666666667,223,319.18975337788913
277.6666666666667,330.3333333333333,304.0,277.6666666666667,330.3333333333333,224,319.0986968889298
414.6666666666667,166.0,290.33333333333337,166.0,414.6666666666667,225,319.009622340802
320.1666666666667,331.8333333333333,326.0,320.1666666666667,331.8333333333333,226,318.92259930704034
318.8333333333333,248.66666666666666,283.75,248.66666666666666,318.8333333333333,227,318.83769675244514
321.6666666666667,166.0,243.83333333333334,166.0,321.6666666666667,228,318.7549830330825
290.3333333333333,249.66666666666666,270.0,249.66666666666666,290.3333333333333,229,318.67452589628454
288.1666666666667,279.8333333333333,284.0,279.8333333333333,288.1666666666667,230,318.59639248064906
234.0,241.66666666666666,237.83333333333331,234.0,241.66666666666666,231,318.5206493160398
237.66666666666666,215.16666666666666,226.41666666666666,215.16666666666666,237.66666666666666,232,318.4473623235863
212.66666666666666,165.66666666666666,189.16666666666666,165.66666666666666,212.66666666666666,233,318.3765968156839
211.33333333333334,168.83333333333334,190.08333333333334,168.83333333333334,211.33333333333334,234,318.3084174959939
214.5,169.0,191.75,169.0,214.5,235,318.24288845944335
311.0,238.66666666666666,274.8333333333333,238.66666666666666,311.0,236,318.1800731922252
326.1666666666667,263.3333333333333,294.75,263.3333333333333,326.1666666666667,237,318.1200345717982
337.6666666666667,226.5,282.08333333333337,226.5,337.6666666666667,238,318.06283486688693
338.1666666666667,219.33333333333334,278.75,219.33333333333334,338.1666666666667,239,318.0085357374818
359.3333333333333,248.33333333333334,303.8333333333333,248.33333333333334,359.3333333333333,240,317.95719823483915
406.5,327.6666666666667,367.08333333333337,327.6666666666667,406.5,241,317.9088828014811
323.0,244.16666666666666,283.5833333333333,244.16666666666666,323.0,242,317.8636492711957
315.0,165.33333333333334,240.16666666666669,165.33333333333334,315.0,243,317.82155686903667
279.6666666666667,221.16666666666666,250.41666666666669,221.16666666666666,279.6666666666667,244,317.78266421132366
388.5,301.6666666666667,345.08333333333337,301.6666666666667,388.5,245,317.7470293056422
